subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S7;1;bpp;start;left;1;1;58;begin start;-0,12590;0,39299;0,57;0,51889
S7;1;bpp;start;left;2;1;58;begin start;-0,13218;0,39129;1,66;0,52347
S7;1;bpp;start;left;3;1;58;begin start;-0,11641;0,40223;2,77;0,51864
S7;1;bpp;start;left;4;1;58;begin start;-0,15264;0,37647;3,84;0,52911
S7;1;bpp;start;left;5;1;58;begin start;-0,15528;0,35680;4,94;0,51208
S7;1;bpp;start;left;22;1;58;Late Baseline;-0,14267;0,37617;25,91;0,51884
S7;1;bpp;start;left;23;1;58;Late Baseline;-0,12827;0,40604;27,04;0,53431
S7;1;bpp;start;left;24;1;58;Late Baseline;-0,13834;0,35540;28,11;0,49374
S7;1;bpp;start;left;25;1;58;Late Baseline;-0,15264;0,33548;29,16;0,48812
S7;1;bpp;start;left;26;1;58;Late Baseline;-0,10772;0,37242;31,33;0,48014
S7;1;bpp;start;left;29;1;58;Early Adapt;0,03184;0,45250;34,17;0,42066
S7;1;bpp;start;left;30;1;58;Early Adapt;-0,06006;0,39163;34,95;0,45169
S7;1;bpp;start;left;31;1;58;Early Adapt;-0,08628;0,43600;35,79;0,52228
S7;1;bpp;start;left;32;1;58;Early Adapt;-0,07206;0,44929;36,66;0,52135
S7;1;bpp;start;left;33;1;58;Early Adapt;-0,08319;0,47876;37,53;0,56195
S7;1;bpp;start;left;53;1;58;end start;-0,13638;0,44627;55,37;0,58265
S7;1;bpp;start;left;54;1;58;end start;-0,15186;0,42715;56,25;0,57901
S7;1;bpp;start;left;55;1;58;end start;-0,14916;0,41648;57,15;0,56564
S7;1;bpp;start;left;56;1;58;end start;-0,11913;0,44597;58,05;0,56510
S7;1;bpp;start;left;57;1;58;end start;-0,11557;0,46724;58,95;0,58281
S7;1;bpp;start;left;58;1;58;end start;-0,12763;0,49141;59,84;0,61904
S7;1;bpp;stop;left;1;1;64;begin stop;-0,20514;0,33979;0,39;0,54493
S7;1;bpp;stop;left;2;1;64;begin stop;-0,16407;0,31990;1,29;0,48397
S7;1;bpp;stop;left;3;1;64;begin stop;-0,20896;0,36697;2,19;0,57593
S7;1;bpp;stop;left;4;1;64;begin stop;-0,19895;0,31525;3,05;0,51420
S7;1;bpp;stop;left;5;1;64;begin stop;-0,21476;0,34136;3,94;0,55612
S7;1;bpp;stop;left;29;1;64;Late Adapt;-0,15684;0,42162;25,54;0,57846
S7;1;bpp;stop;left;30;1;64;Late Adapt;-0,19215;0,36096;26,40;0,55311
S7;1;bpp;stop;left;31;1;64;Late Adapt;-0,18236;0,35499;27,30;0,53735
S7;1;bpp;stop;left;32;1;64;Late Adapt;-0,17592;0,36766;28,18;0,54358
S7;1;bpp;stop;left;33;1;64;Late Adapt;-0,16370;0,40059;29,08;0,56429
S7;1;bpp;stop;left;36;1;64;Early Post Adapt;-0,35924;0,09207;31,69;0,45131
S7;1;bpp;stop;left;37;1;64;Early Post Adapt;-0,39370;-0,02047;32,51;0,37323
S7;1;bpp;stop;left;38;1;64;Early Post Adapt;-0,36035;0,04218;33,41;0,40253
S7;1;bpp;stop;left;39;1;64;Early Post Adapt;-0,35693;0,11928;34,37;0,47621
S7;1;bpp;stop;left;40;1;64;Early Post Adapt;-0,39691;0,09914;35,36;0,49605
S7;1;bpp;stop;left;59;1;64;end stop;-0,30143;0,19095;54,72;0,49238
S7;1;bpp;stop;left;60;1;64;end stop;-0,29274;0,19352;55,76;0,48626
S7;1;bpp;stop;left;61;1;64;end stop;-0,27843;0,18066;56,80;0,45909
S7;1;bpp;stop;left;62;1;64;end stop;-0,26200;0,23892;57,87;0,50092
S7;1;bpp;stop;left;63;1;64;end stop;-0,26431;0,21569;58,87;0,48000
S7;1;bpp;stop;left;64;1;64;end stop;-0,26399;0,23798;59,93;0,50197
S7;2;bbp;start;left;1;1;63;begin start;-0,24000;0,30604;0,65;0,54604
S7;2;bbp;start;left;2;1;63;begin start;-0,26717;0,25251;1,71;0,51968
S7;2;bbp;start;left;3;1;63;begin start;-0,22595;0,28651;2,78;0,51246
S7;2;bbp;start;left;4;1;63;begin start;-0,24816;0,26807;3,85;0,51623
S7;2;bbp;start;left;5;1;63;begin start;-0,25285;0,25899;4,94;0,51184
S7;2;bbp;start;left;22;1;63;Late Baseline;-0,30159;0,21862;26,50;0,52021
S7;2;bbp;start;left;23;1;63;Late Baseline;-0,25981;0,21806;27,56;0,47787
S7;2;bbp;start;left;24;1;63;Late Baseline;-0,19598;0,31382;28,67;0,50980
S7;2;bbp;start;left;25;1;63;Late Baseline;-0,19746;0,30867;29,75;0,50613
S7;2;bbp;start;left;26;1;63;Late Baseline;-0,18279;0,31648;30,83;0,49927
S7;2;bbp;start;left;29;1;63;Early Adapt;-0,23873;0,29007;33,66;0,52880
S7;2;bbp;start;left;30;1;63;Early Adapt;-0,36232;0,21270;34,35;0,57502
S7;2;bbp;start;left;31;1;63;Early Adapt;-0,34661;0,22272;35,12;0,56933
S7;2;bbp;start;left;32;1;63;Early Adapt;-0,35912;0,20630;35,87;0,56542
S7;2;bbp;start;left;33;1;63;Early Adapt;-0,33152;0,26292;36,64;0,59444
S7;2;bbp;start;left;58;1;63;end start;-0,29070;0,37275;56,97;0,66345
S7;2;bbp;start;left;59;1;63;end start;-0,28007;0,38537;57,83;0,66544
S7;2;bbp;start;left;60;1;63;end start;-0,28226;0,36858;58,67;0,65084
S7;2;bbp;start;left;61;1;63;end start;-0,29394;0,36644;59,52;0,66038
S7;2;bbp;start;left;62;1;63;end start;-0,32887;0,32175;60,36;0,65062
S7;2;bbp;start;left;63;1;63;end start;-0,37211;0,31567;61,22;0,68778
S7;2;bbp;stop;left;1;1;62;begin stop;-0,30864;0,36521;0,10;0,67385
S7;2;bbp;stop;left;2;1;62;begin stop;-0,28043;0,38090;1,00;0,66133
S7;2;bbp;stop;left;3;1;62;begin stop;-0,31055;0,36890;1,87;0,67945
S7;2;bbp;stop;left;4;1;62;begin stop;-0,26375;0,41148;2,79;0,67523
S7;2;bbp;stop;left;5;1;62;begin stop;-0,29744;0,39492;3,65;0,69236
S7;2;bbp;stop;left;30;1;62;Late Adapt;-0,30064;0,39912;25,85;0,69976
S7;2;bbp;stop;left;31;1;62;Late Adapt;-0,30020;0,34437;26,71;0,64457
S7;2;bbp;stop;left;32;1;62;Late Adapt;-0,27034;0,40218;27,60;0,67252
S7;2;bbp;stop;left;33;1;62;Late Adapt;-0,29936;0,36745;28,46;0,66681
S7;2;bbp;stop;left;34;1;62;Late Adapt;-0,29048;0,37675;29,35;0,66723
S7;2;bbp;stop;left;37;1;62;Early Post Adapt;-0,18148;0,30160;32,47;0,48308
S7;2;bbp;stop;left;38;1;62;Early Post Adapt;-0,19675;0,26760;33,45;0,46435
S7;2;bbp;stop;left;39;1;62;Early Post Adapt;-0,19360;0,23970;34,39;0,43330
S7;2;bbp;stop;left;40;1;62;Early Post Adapt;-0,18862;0,26578;35,36;0,45440
S7;2;bbp;stop;left;41;1;62;Early Post Adapt;-0,23059;0,24997;38,36;0,48056
S7;2;bbp;stop;left;57;1;62;end stop;-0,19644;0,31172;55,79;0,50816
S7;2;bbp;stop;left;58;1;62;end stop;-0,19209;0,32923;56,92;0,52132
S7;2;bbp;stop;left;59;1;62;end stop;-0,20440;0,33014;58,04;0,53454
S7;2;bbp;stop;left;60;1;62;end stop;-0,18773;0,31510;59,14;0,50283
S7;2;bbp;stop;left;61;1;62;end stop;-0,18808;0,33315;60,25;0,52123
S7;2;bbp;stop;left;62;1;62;end stop;-0,17449;0,37363;61,41;0,54812
S7;3;ubp;start;left;1;1;62;begin start;-0,23028;0,27597;0,04;0,50625
