subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S3;1;bbp;start;left;1;1;64;begin start;-0,45083;0,03265;0,94;0,48348
S3;1;bbp;start;left;2;1;64;begin start;-0,45983;0,04017;2,01;0,50000
S3;1;bbp;start;left;3;1;64;begin start;-0,41562;0,07511;3,06;0,49073
S3;1;bbp;start;left;4;1;64;begin start;-0,39085;0,10933;4,11;0,50018
S3;1;bbp;start;left;5;1;64;begin start;-0,43736;0,08388;5,14;0,52124
S3;1;bbp;start;left;17;1;64;Late Baseline;-0,40866;0,07011;17,72;0,47877
S3;1;bbp;start;left;18;1;64;Late Baseline;-0,42043;0,09655;18,77;0,51698
S3;1;bbp;start;left;19;1;64;Late Baseline;-0,43050;0,07377;19,81;0,50427
S3;1;bbp;start;left;20;1;64;Late Baseline;-0,46974;0,03051;20,84;0,50025
S3;1;bbp;start;left;21;1;64;Late Baseline;-0,46102;0,03277;21,90;0,49379
S3;1;bbp;start;left;24;1;64;Early Adapt;-0,46054;0,15022;25,61;0,61076
S3;1;bbp;start;left;25;1;64;Early Adapt;-0,55638;0,08613;26,39;0,64251
S3;1;bbp;start;left;26;1;64;Early Adapt;-0,40841;0,18323;27,21;0,59164
S3;1;bbp;start;left;27;1;64;Early Adapt;-0,42694;0,21455;28,01;0,64149
S3;1;bbp;start;left;28;1;64;Early Adapt;-0,48342;0,20248;28,84;0,68590
S3;1;bbp;start;left;59;1;64;end start;-0,51939;0,16962;55,04;0,68901
S3;1;bbp;start;left;60;1;64;end start;-0,51978;0,17146;55,89;0,69124
S3;1;bbp;start;left;61;1;64;end start;-0,49983;0,19747;56,75;0,69730
S3;1;bbp;start;left;62;1;64;end start;-0,54073;0,08008;57,58;0,62081
S3;1;bbp;start;left;63;1;64;end start;-0,52346;0,17792;58,44;0,70138
S3;1;bbp;start;left;64;1;64;end start;-0,53609;0,14010;59,30;0,67619
S3;1;bbp;stop;left;1;1;57;begin stop;-0,59614;0,10780;0,11;0,70394
