subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S14;1;sbt;start;left;1;1;68;begin start;-0,47511;0,00680;1,09;0,48191
S14;1;sbt;start;left;2;1;68;begin start;-0,48721;0,00735;2,14;0,49456
S14;1;sbt;start;left;3;1;68;begin start;-0,49194;0,00251;3,23;0,49445
S14;1;sbt;start;left;4;1;68;begin start;-0,51592;-0,02783;4,29;0,48809
S14;1;sbt;start;left;5;1;68;begin start;-0,51330;-0,00995;5,38;0,50335
S14;1;sbt;start;left;23;1;68;Late Baseline;-0,60492;-0,09594;24,66;0,50898
S14;1;sbt;start;left;24;1;68;Late Baseline;-0,53627;-0,05934;25,74;0,47693
S14;1;sbt;start;left;25;1;68;Late Baseline;-0,44819;0,02754;26,83;0,47573
S14;1;sbt;start;left;26;1;68;Late Baseline;-0,41897;0,08876;27,90;0,50773
S14;1;sbt;start;left;27;1;68;Late Baseline;-0,44696;0,04010;28,90;0,48706
S14;1;sbt;start;left;30;1;68;Early Adapt;-0,39560;-0,00120;31,94;0,39440
S14;1;sbt;start;left;31;1;68;Early Adapt;-0,51579;-0,10105;32,58;0,41474
S14;1;sbt;start;left;32;1;68;Early Adapt;-0,48429;-0,20329;33,21;0,28100
S14;1;sbt;start;left;33;1;68;Early Adapt;-0,40872;-0,13923;33,86;0,26949
S14;1;sbt;start;left;34;1;68;Early Adapt;-0,46064;-0,08558;34,55;0,37506
S14;1;sbt;start;left;63;1;68;end start;-0,62443;-0,21472;57,84;0,40971
S14;1;sbt;start;left;64;1;68;end start;-0,61125;-0,19611;58,60;0,41514
S14;1;sbt;start;left;65;1;68;end start;-0,57393;-0,12347;59,37;0,45046
S14;1;sbt;start;left;66;1;68;end start;-0,61777;-0,17720;60,11;0,44057
S14;1;sbt;start;left;67;1;68;end start;-0,64842;-0,19023;60,85;0,45819
S14;1;sbt;start;left;68;1;68;end start;-0,64729;-0,22511;61,61;0,42218
S14;1;sbt;stop;left;1;1;65;begin stop;-0,30681;0,28957;0,49;0,59638
S14;1;sbt;stop;left;2;1;65;begin stop;-0,32569;0,23543;1,36;0,56112
S14;1;sbt;stop;left;3;1;65;begin stop;-0,29462;0,28070;2,23;0,57532
S14;1;sbt;stop;left;4;1;65;begin stop;-0,30285;0,26937;3,09;0,57222
S14;1;sbt;stop;left;5;1;65;begin stop;-0,29392;0,29169;4,00;0,58561
S14;1;sbt;stop;left;31;1;65;Late Adapt;-0,40445;0,18112;27,36;0,58557
S14;1;sbt;stop;left;32;1;65;Late Adapt;-0,35392;0,21696;28,28;0,57088
S14;1;sbt;stop;left;33;1;65;Late Adapt;-0,32492;0,25614;29,19;0,58106
S14;1;sbt;stop;left;34;1;65;Late Adapt;-0,33182;0,26237;30,08;0,59419
S14;1;sbt;stop;left;35;1;65;Late Adapt;-0,34974;0,24615;30,98;0,59589
S14;1;sbt;stop;left;38;1;65;Early Post Adapt;-0,47298;0,09669;36,09;0,56967
S14;1;sbt;stop;left;39;1;65;Early Post Adapt;-0,49304;0,08191;37,03;0,57495
S14;1;sbt;stop;left;40;1;65;Early Post Adapt;-0,45951;0,07667;37,94;0,53618
S14;1;sbt;stop;left;41;1;65;Early Post Adapt;-0,56937;-0,00686;38,78;0,56251
S14;1;sbt;stop;left;42;1;65;Early Post Adapt;-0,59707;-0,05930;39,67;0,53777
S14;1;sbt;stop;left;60;1;65;end stop;-0,22681;0,33937;57,39;0,56618
S14;1;sbt;stop;left;61;1;65;end stop;-0,24026;0,30263;58,46;0,54289
S14;1;sbt;stop;left;62;1;65;end stop;-0,21530;0,31608;59,54;0,53138
S14;1;sbt;stop;left;63;1;65;end stop;-0,21232;0,34892;60,63;0,56124
S14;1;sbt;stop;left;64;1;65;end stop;-0,23704;0,31752;61,71;0,55456
S14;1;sbt;stop;left;65;1;65;end stop;-0,26864;0,23036;62,76;0,49900
S14;2;upp;start;left;1;1;57;begin start;-0,15446;0,38426;0,67;0,53872
S14;2;upp;start;left;2;1;57;begin start;-0,20869;0,34535;1,79;0,55404
S14;2;upp;start;left;3;1;57;begin start;-0,18237;0,34023;2,89;0,52260
