subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S13;1;ubp;start;left;1;1;55;begin start;-0,24362;0,35971;0,40;0,60333
S13;1;ubp;start;left;2;1;55;begin start;-0,23528;0,37106;1,67;0,60634
S13;1;ubp;start;left;3;1;55;begin start;-0,24534;0,35533;2,91;0,60067
S13;1;ubp;start;left;4;1;55;begin start;-0,23716;0,35387;4,18;0,59103
S13;1;ubp;start;left;5;1;55;begin start;-0,23502;0,33476;5,43;0,56978
S13;1;ubp;start;left;21;1;55;Late Baseline;-0,23730;0,32865;25,54;0,56595
S13;1;ubp;start;left;22;1;55;Late Baseline;-0,21527;0,36417;26,79;0,57944
S13;1;ubp;start;left;23;1;55;Late Baseline;-0,20064;0,38634;28,05;0,58698
S13;1;ubp;start;left;24;1;55;Late Baseline;-0,20717;0,37911;29,30;0,58628
S13;1;ubp;start;left;25;1;55;Late Baseline;-0,17317;0,38719;30,54;0,56036
S13;1;ubp;start;left;28;1;55;Early Adapt;-0,09911;0,12599;33,91;0,22510
S13;1;ubp;start;left;29;1;55;Early Adapt;-0,20497;0,23028;34,78;0,43525
S13;1;ubp;start;left;30;1;55;Early Adapt;-0,30326;0,23717;35,81;0,54043
S13;1;ubp;start;left;31;1;55;Early Adapt;-0,32198;0,22343;36,87;0,54541
S13;1;ubp;start;left;32;1;55;Early Adapt;-0,33216;0,25315;37,97;0,58531
S13;1;ubp;start;left;50;1;55;end start;-0,31478;0,31022;57,48;0,62500
S13;1;ubp;start;left;51;1;55;end start;-0,30832;0,27245;58,56;0,58077
S13;1;ubp;start;left;52;1;55;end start;-0,29646;0,28440;59,59;0,58086
S13;1;ubp;start;left;53;1;55;end start;-0,31217;0,27800;60,66;0,59017
S13;1;ubp;start;left;54;1;55;end start;-0,31792;0,27598;61,72;0,59390
S13;1;ubp;start;left;55;1;55;end start;-0,30198;0,22980;62,76;0,53178
S13;1;ubp;stop;left;1;1;52;begin stop;-0,43491;0,18448;0,83;0,61939
S13;1;ubp;stop;left;2;1;52;begin stop;-0,39436;0,19737;1,90;0,59173
S13;1;ubp;stop;left;3;1;52;begin stop;-0,40639;0,21047;2,96;0,61686
S13;1;ubp;stop;left;4;1;52;begin stop;-0,41475;0,19546;4,02;0,61021
S13;1;ubp;stop;left;5;1;52;begin stop;-0,37219;0,23354;5,09;0,60573
S13;1;ubp;stop;left;24;1;52;Late Adapt;-0,42196;0,18601;25,41;0,60797
S13;1;ubp;stop;left;25;1;52;Late Adapt;-0,41258;0,17700;26,44;0,58958
S13;1;ubp;stop;left;26;1;52;Late Adapt;-0,35858;0,21508;27,50;0,57366
S13;1;ubp;stop;left;27;1;52;Late Adapt;-0,37123;0,20947;28,54;0,58070
S13;1;ubp;stop;left;28;1;52;Late Adapt;-0,34744;0,23879;29,59;0,58623
S13;1;ubp;stop;left;31;1;52;Early Post Adapt;-0,23969;0,31564;32,79;0,55533
S13;1;ubp;stop;left;32;1;52;Early Post Adapt;-0,23165;0,33862;34,96;0,57027
S13;1;ubp;stop;left;33;1;52;Early Post Adapt;-0,32294;0,34422;36,14;0,66716
