subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S5;1;sbt;start;left;1;1;111;begin start;-0,39704;0,10599;0,12;0,50303
S5;1;sbt;start;left;2;1;111;begin start;-0,31896;0,18831;1,26;0,50727
S5;1;sbt;start;left;3;1;111;begin start;-0,32540;0,19135;2,36;0,51675
S5;1;sbt;start;left;4;1;111;begin start;-0,34453;0,18086;3,43;0,52539
S5;1;sbt;start;left;5;1;111;begin start;-0,32344;0,16273;4,50;0,48617
S5;1;sbt;start;left;23;1;111;Late Baseline;-0,28077;0,24457;24,18;0,52534
S5;1;sbt;start;left;24;1;111;Late Baseline;-0,25810;0,24412;25,27;0,50222
S5;1;sbt;start;left;25;1;111;Late Baseline;-0,25176;0,26947;26,36;0,52123
S5;1;sbt;start;left;26;1;111;Late Baseline;-0,26004;0,29092;27,48;0,55096
S5;1;sbt;start;left;27;1;111;Late Baseline;-0,22837;0,26341;28,57;0,49178
S5;1;sbt;start;left;30;1;111;Early Adapt;-0,15255;0,31247;31,74;0,46502
S5;1;sbt;start;left;31;1;111;Early Adapt;-0,16742;0,29993;32,62;0,46735
S5;1;sbt;start;left;32;1;111;Early Adapt;-0,22368;0,26346;33,45;0,48714
S5;1;sbt;start;left;33;1;111;Early Adapt;-0,27252;0,17801;34,27;0,45053
S5;1;sbt;start;left;34;1;111;Early Adapt;-0,26166;0,15867;35,13;0,42033
S5;1;sbt;start;left;106;1;111;end start;-0,16973;0,22169;94,55;0,39142
S5;1;sbt;start;left;107;1;111;end start;-0,20500;0,29790;95,41;0,50290
S5;1;sbt;start;left;108;1;111;end start;-0,22506;0,29735;96,30;0,52241
S5;1;sbt;start;left;109;1;111;end start;-0,17087;0,30541;97,17;0,47628
S5;1;sbt;start;left;110;1;111;end start;-0,19888;0,30278;98,03;0,50166
S5;1;sbt;start;left;111;1;111;end start;-0,20952;0,27680;98,90;0,48632
S5;1;sbt;stop;left;1;1;100;begin stop;-0,27165;0,27137;0,23;0,54302
S5;1;sbt;stop;left;2;1;100;begin stop;-0,30008;0,23923;1,09;0,53931
S5;1;sbt;stop;left;3;1;100;begin stop;-0,26597;0,25578;1,99;0,52175
S5;1;sbt;stop;left;4;1;100;begin stop;-0,26804;0,28033;2,88;0,54837
S5;1;sbt;stop;left;5;1;100;begin stop;-0,25581;0,28977;3,81;0,54558
S5;1;sbt;stop;left;43;1;100;Late Adapt;-0,25329;0,25459;37,52;0,50788
S5;1;sbt;stop;left;44;1;100;Late Adapt;-0,25504;0,26686;38,43;0,52190
S5;1;sbt;stop;left;45;1;100;Late Adapt;-0,28442;0,19317;39,27;0,47759
S5;1;sbt;stop;left;46;1;100;Late Adapt;-0,28012;0,24651;40,18;0,52663
S5;1;sbt;stop;left;47;1;100;Late Adapt;-0,27856;0,19691;41,06;0,47547
S5;1;sbt;stop;left;50;1;100;Early Post Adapt;-0,12066;0,40394;45,01;0,52460
S5;1;sbt;stop;left;51;1;100;Early Post Adapt;-0,11763;0,41281;46,20;0,53044
