subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S17;1;upp;start;left;1;1;57;begin start;-0,36441;0,17946;0,55;0,54387
S17;1;upp;start;left;2;1;57;begin start;-0,36538;0,18623;1,71;0,55161
S17;1;upp;start;left;3;1;57;begin start;-0,32854;0,24240;2,91;0,57094
S17;1;upp;start;left;4;1;57;begin start;-0,34684;0,22799;4,08;0,57483
S17;1;upp;start;left;5;1;57;begin start;-0,35290;0,20221;5,22;0,55511
S17;1;upp;start;left;22;1;57;Late Baseline;-0,30261;0,22344;24,82;0,52605
S17;1;upp;start;left;23;1;57;Late Baseline;-0,33992;0,24524;25,96;0,58516
S17;1;upp;start;left;24;1;57;Late Baseline;-0,31080;0,23315;27,11;0,54395
S17;1;upp;start;left;25;1;57;Late Baseline;-0,31524;0,23628;28,25;0,55152
S17;1;upp;start;left;26;1;57;Late Baseline;-0,32425;0,21708;29,37;0,54133
S17;1;upp;start;left;29;1;57;Early Adapt;-0,26751;0,08102;32,56;0,34853
S17;1;upp;start;left;30;1;57;Early Adapt;-0,23170;0,22320;33,51;0,45490
S17;1;upp;start;left;31;1;57;Early Adapt;-0,26380;0,19598;34,44;0,45978
S17;1;upp;start;left;32;1;57;Early Adapt;-0,23966;0,23441;35,40;0,47407
S17;1;upp;start;left;33;1;57;Early Adapt;-0,26506;0,25015;36,37;0,51521
S17;1;upp;start;left;52;1;57;end start;-0,24386;0,23171;54,67;0,47557
S17;1;upp;start;left;53;1;57;end start;-0,24878;0,25463;55,63;0,50341
S17;1;upp;start;left;54;1;57;end start;-0,24517;0,21343;56,58;0,45860
S17;1;upp;start;left;55;1;57;end start;-0,27340;0,25751;57,56;0,53091
S17;1;upp;start;left;56;1;57;end start;-0,26424;0,23350;58,54;0,49774
S17;1;upp;start;left;57;1;57;end start;-0,25968;0,24511;59,52;0,50479
S17;1;upp;stop;left;1;1;56;begin stop;-0,28733;0,23945;0,85;0,52678
S17;1;upp;stop;left;2;1;56;begin stop;-0,29934;0,25167;1,90;0,55101
S17;1;upp;stop;left;3;1;56;begin stop;-0,27961;0,24663;2,94;0,52624
S17;1;upp;stop;left;4;1;56;begin stop;-0,22321;0,27828;3,99;0,50149
S17;1;upp;stop;left;5;1;56;begin stop;-0,20823;0,33631;5,03;0,54454
S17;1;upp;stop;left;24;1;56;Late Adapt;-0,27450;0,25091;24,84;0,52541
S17;1;upp;stop;left;25;1;56;Late Adapt;-0,27931;0,27496;25,87;0,55427
S17;1;upp;stop;left;26;1;56;Late Adapt;-0,29487;0,26462;26,91;0,55949
S17;1;upp;stop;left;27;1;56;Late Adapt;-0,28406;0,25896;27,97;0,54302
S17;1;upp;stop;left;28;1;56;Late Adapt;-0,27309;0,29838;29,02;0,57147
S17;1;upp;stop;left;31;1;56;Early Post Adapt;-0,29637;0,22869;32,09;0,52506
S17;1;upp;stop;left;32;1;56;Early Post Adapt;-0,33437;0,21077;33,07;0,54514
S17;1;upp;stop;left;33;1;56;Early Post Adapt;-0,29438;0,23399;34,12;0,52837
S17;1;upp;stop;left;34;1;56;Early Post Adapt;-0,24920;0,32139;35,23;0,57059
S17;1;upp;stop;left;35;1;56;Early Post Adapt;-0,28439;0,24151;36,30;0,52590
S17;1;upp;stop;left;51;1;56;end stop;-0,19363;0,29180;53,78;0,48543
S17;1;upp;stop;left;52;1;56;end stop;-0,19971;0,30574;54,87;0,50545
S17;1;upp;stop;left;53;1;56;end stop;-0,21537;0,32076;55,98;0,53613
S17;1;upp;stop;left;54;1;56;end stop;-0,23122;0,29259;57,06;0,52381
S17;1;upp;stop;left;55;1;56;end stop;-0,19556;0,28747;58,17;0,48303
S17;1;upp;stop;left;56;1;56;end stop;-0,20430;0,30522;59,26;0,50952
S17;2;bbp;start;left;1;1;68;begin start;-0,26011;0,27328;0,40;0,53339
S17;2;bbp;start;left;2;1;68;begin start;-0,23472;0,27479;1,52;0,50951
S17;2;bbp;start;left;3;1;68;begin start;-0,24705;0,31765;2,65;0,56470
S17;2;bbp;start;left;4;1;68;begin start;-0,20109;0,29951;3,78;0,50060
S17;2;bbp;start;left;5;1;68;begin start;-0,21630;0,33643;4,88;0,55273
S17;2;bbp;start;left;24;1;68;Late Baseline;-0,26630;0,28999;26,03;0,55629
S17;2;bbp;start;left;25;1;68;Late Baseline;-0,27744;0,27115;27,15;0,54859
S17;2;bbp;start;left;26;1;68;Late Baseline;-0,28971;0,24301;28,26;0,53272
S17;2;bbp;start;left;27;1;68;Late Baseline;-0,30431;0,24581;29,40;0,55012
S17;2;bbp;start;left;28;1;68;Late Baseline;-0,28429;0,22130;30,54;0,50559
S17;2;bbp;start;left;31;1;68;Early Adapt;-0,33225;0,17345;35,49;0,50570
S17;2;bbp;start;left;32;1;68;Early Adapt;-0,32063;0,26615;36,18;0,58678
S17;2;bbp;start;left;33;1;68;Early Adapt;-0,33006;0,25971;36,95;0,58977
S17;2;bbp;start;left;34;1;68;Early Adapt;-0,36415;0,22441;37,69;0,58856
S17;2;bbp;start;left;35;1;68;Early Adapt;-0,28235;0,34847;38,46;0,63082
S17;2;bbp;start;left;63;1;68;end start;-0,29948;0,37465;61,07;0,67413
S17;2;bbp;start;left;64;1;68;end start;-0,28718;0,37299;61,87;0,66017
S17;2;bbp;start;left;65;1;68;end start;-0,25549;0,41233;62,68;0,66782
S17;2;bbp;start;left;66;1;68;end start;-0,25655;0,41104;63,49;0,66759
S17;2;bbp;start;left;67;1;68;end start;-0,25893;0,41573;64,31;0,67466
