subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S4;1;sbt;start;left;1;1;56;begin start;-0,32436;0,22733;0,14;0,55169
S4;1;sbt;start;left;2;1;56;begin start;-0,29956;0,24972;1,35;0,54928
S4;1;sbt;start;left;3;1;56;begin start;-0,35720;0,22789;2,58;0,58509
S4;1;sbt;start;left;4;1;56;begin start;-0,35806;0,18393;3,78;0,54199
S4;1;sbt;start;left;5;1;56;begin start;-0,34353;0,20992;4,99;0,55345
S4;1;sbt;start;left;18;1;56;Late Baseline;-0,29607;0,27626;20,86;0,57233
S4;1;sbt;start;left;19;1;56;Late Baseline;-0,28677;0,28140;22,08;0,56817
S4;1;sbt;start;left;20;1;56;Late Baseline;-0,34201;0,24131;23,27;0,58332
S4;1;sbt;start;left;21;1;56;Late Baseline;-0,32370;0,22896;24,46;0,55266
S4;1;sbt;start;left;22;1;56;Late Baseline;-0,33151;0,23473;25,66;0,56624
S4;1;sbt;start;left;25;1;56;Early Adapt;-0,36072;0,18577;29,30;0,54649
S4;1;sbt;start;left;26;1;56;Early Adapt;-0,32461;-0,01182;31,48;0,31279
S4;1;sbt;start;left;27;1;56;Early Adapt;-0,17974;0,06200;32,81;0,24174
S4;1;sbt;start;left;28;1;56;Early Adapt;-0,14051;0,21332;33,55;0,35383
S4;1;sbt;start;left;29;1;56;Early Adapt;-0,17214;0,18953;34,27;0,36167
S4;1;sbt;start;left;51;1;56;end start;-0,41532;0,09835;53,14;0,51367
S4;1;sbt;start;left;52;1;56;end start;-0,39132;0,09326;54,04;0,48458
S4;1;sbt;start;left;53;1;56;end start;-0,38873;0,17335;54,90;0,56208
S4;1;sbt;start;left;54;1;56;end start;-0,48245;0,04629;55,74;0,52874
S4;1;sbt;start;left;55;1;56;end start;-0,47433;0,02120;57,55;0,49553
S4;1;sbt;start;left;56;1;56;end start;-0,47313;0,05882;59,29;0,53195
S4;1;sbt;stop;left;1;1;52;begin stop;-0,27859;0,40787;0,67;0,68646
S4;1;sbt;stop;left;2;1;52;begin stop;-0,30342;0,37203;1,68;0,67545
S4;1;sbt;stop;left;3;1;52;begin stop;-0,28574;0,34752;2,71;0,63326
S4;1;sbt;stop;left;4;1;52;begin stop;-0,28113;0,40726;3,74;0,68839
S4;1;sbt;stop;left;5;1;52;begin stop;-0,28405;0,44060;4,80;0,72465
S4;1;sbt;stop;left;23;1;52;Late Adapt;-0,30822;0,37699;23,54;0,68521
S4;1;sbt;stop;left;24;1;52;Late Adapt;-0,31737;0,38964;24,57;0,70701
S4;1;sbt;stop;left;25;1;52;Late Adapt;-0,31870;0,37761;25,61;0,69631
S4;1;sbt;stop;left;26;1;52;Late Adapt;-0,32794;0,36451;26,65;0,69245
S4;1;sbt;stop;left;27;1;52;Late Adapt;-0,33776;0,39063;27,73;0,72839
S4;1;sbt;stop;left;30;1;52;Early Post Adapt;-0,26428;0,47788;32,54;0,74216
S4;1;sbt;stop;left;31;1;52;Early Post Adapt;-0,15490;0,42389;33,68;0,57879
S4;1;sbt;stop;left;32;1;52;Early Post Adapt;-0,15274;0,48786;34,78;0,64060
S4;1;sbt;stop;left;33;1;52;Early Post Adapt;-0,10964;0,58232;35,97;0,69196
S4;1;sbt;stop;left;34;1;52;Early Post Adapt;-0,06614;0,69769;37,29;0,76383
S4;1;sbt;stop;left;47;1;52;end stop;-0,29729;0,29015;52,89;0,58744
S4;1;sbt;stop;left;48;1;52;end stop;-0,31054;0,28498;54,05;0,59552
S4;1;sbt;stop;left;49;1;52;end stop;-0,35311;0,27331;55,26;0,62642
S4;1;sbt;stop;left;50;1;52;end stop;-0,30521;0,27583;56,45;0,58104
S4;1;sbt;stop;left;51;1;52;end stop;-0,32066;0,26514;57,62;0,58580
S4;1;sbt;stop;left;52;1;52;end stop;-0,30386;0,22534;58,75;0,52920
S4;2;ubp;start;left;1;1;56;begin start;-0,05149;0,49784;0,09;0,54933
S4;2;ubp;start;left;2;1;56;begin start;-0,06220;0,52463;1,27;0,58683
S4;2;ubp;start;left;3;1;56;begin start;-0,05405;0,50378;2,48;0,55783
S4;2;ubp;start;left;4;1;56;begin start;-0,08915;0,48847;3,66;0,57762
S4;2;ubp;start;left;5;1;56;begin start;-0,07899;0,49078;4,83;0,56977
S4;2;ubp;start;left;22;1;56;Late Baseline;-0,31054;0,23978;24,45;0,55032
S4;2;ubp;start;left;23;1;56;Late Baseline;-0,25863;0,24434;25,62;0,50297
S4;2;ubp;start;left;24;1;56;Late Baseline;-0,29562;0,23543;26,73;0,53105
S4;2;ubp;start;left;25;1;56;Late Baseline;-0,32227;0,22635;27,86;0,54862
S4;2;ubp;start;left;26;1;56;Late Baseline;-0,37089;0,15980;28,94;0,53069
S4;2;ubp;start;left;29;1;56;Early Adapt;-0,31472;0,16128;31,97;0,47600
S4;2;ubp;start;left;30;1;56;Early Adapt;-0,45147;0,10030;32,87;0,55177
S4;2;ubp;start;left;31;1;56;Early Adapt;-0,45151;0,11072;33,80;0,56223
S4;2;ubp;start;left;32;1;56;Early Adapt;-0,31822;0,11733;34,69;0,43555
S4;2;ubp;start;left;33;1;56;Early Adapt;-0,20347;0,30790;35,60;0,51137
S4;2;ubp;start;left;51;1;56;end start;-0,12825;0,45924;53,35;0,58749
S4;2;ubp;start;left;52;1;56;end start;-0,14000;0,44887;54,40;0,58887
S4;2;ubp;start;left;53;1;56;end start;-0,15350;0,44738;55,44;0,60088
S4;2;ubp;start;left;54;1;56;end start;-0,14215;0,42168;56,45;0,56383
S4;2;ubp;start;left;55;1;56;end start;-0,10613;0,49354;57,51;0,59967
S4;2;ubp;start;left;56;1;56;end start;-0,17379;0,44325;58,51;0,61704
S4;2;ubp;stop;left;1;1;54;begin stop;-0,25997;0,47348;0,18;0,73345
S4;2;ubp;stop;left;2;1;54;begin stop;-0,29497;0,40921;1,32;0,70418
S4;2;ubp;stop;left;3;1;54;begin stop;-0,25884;0,32851;2,41;0,58735
S4;2;ubp;stop;left;4;1;54;begin stop;-0,22407;0,38874;3,48;0,61281
S4;2;ubp;stop;left;5;1;54;begin stop;-0,15498;0,46107;4,58;0,61605
S4;2;ubp;stop;left;26;1;54;Late Adapt;-0,28023;0,32907;26,27;0,60930
S4;2;ubp;stop;left;27;1;54;Late Adapt;-0,28286;0,30995;27,30;0,59281
S4;2;ubp;stop;left;28;1;54;Late Adapt;-0,21725;0,37199;28,33;0,58924
S4;2;ubp;stop;left;29;1;54;Late Adapt;-0,12112;0,50502;29,44;0,62614
S4;2;ubp;stop;left;30;1;54;Late Adapt;-0,10553;0,50833;30,50;0,61386
S4;2;ubp;stop;left;33;1;54;Early Post Adapt;0,06512;0,68920;34,56;0,62408
S4;2;ubp;stop;left;34;1;54;Early Post Adapt;0,16623;0,72089;35,70;0,55466
S4;2;ubp;stop;left;35;1;54;Early Post Adapt;0,19912;0,75918;36,78;0,56006
S4;2;ubp;stop;left;36;1;54;Early Post Adapt;0,12933;0,72367;37,88;0,59434
S4;2;ubp;stop;left;37;1;54;Early Post Adapt;0,07226;0,69324;39,02;0,62098
S4;2;ubp;stop;left;49;1;54;end stop;-0,29012;0,31527;52,83;0,60539
S4;2;ubp;stop;left;50;1;54;end stop;-0,29460;0,26008;53,99;0,55468
S4;2;ubp;stop;left;51;1;54;end stop;-0,26480;0,25710;55,11;0,52190
S4;2;ubp;stop;left;52;1;54;end stop;-0,13379;0,41142;56,31;0,54521
S4;2;ubp;stop;left;53;1;54;end stop;-0,12442;0,47321;57,51;0,59763
S4;2;ubp;stop;left;54;1;54;end stop;-0,16297;0,41231;58,68;0,57528
S4;3;bbp;start;left;1;1;57;begin start;-0,15852;0,39331;0,37;0,55183
S4;3;bbp;start;left;2;1;57;begin start;-0,17785;0,37578;1,53;0,55363
S4;3;bbp;start;left;3;1;57;begin start;-0,16978;0,35598;2,66;0,52576
S4;3;bbp;start;left;4;1;57;begin start;-0,19563;0,36346;3,84;0,55909
S4;3;bbp;start;left;5;1;57;begin start;-0,19189;0,33407;4,97;0,52596
S4;3;bbp;start;left;22;1;57;Late Baseline;-0,27771;0,26528;25,43;0,54299
S4;3;bbp;start;left;23;1;57;Late Baseline;-0,28858;0,27512;26,63;0,56370
S4;3;bbp;start;left;24;1;57;Late Baseline;-0,27199;0,27775;27,85;0,54974
S4;3;bbp;start;left;25;1;57;Late Baseline;-0,24161;0,30882;29,04;0,55043
S4;3;bbp;start;left;26;1;57;Late Baseline;-0,19943;0,31000;30,21;0,50943
S4;3;bbp;start;left;29;1;57;Early Adapt;-0,38091;0,21893;33,46;0,59984
S4;3;bbp;start;left;30;1;57;Early Adapt;-0,43021;0,16172;34,29;0,59193
S4;3;bbp;start;left;31;1;57;Early Adapt;-0,46649;0,12032;35,10;0,58681
S4;3;bbp;start;left;32;1;57;Early Adapt;-0,34883;0,17863;35,91;0,52746
S4;3;bbp;start;left;33;1;57;Early Adapt;-0,31805;0,33547;36,77;0,65352
S4;3;bbp;start;left;52;1;57;end start;-0,37840;0,24854;53,99;0,62694
S4;3;bbp;start;left;53;1;57;end start;-0,34503;0,31144;54,89;0,65647
S4;3;bbp;start;left;54;1;57;end start;-0,35201;0,33796;55,80;0,68997
S4;3;bbp;start;left;55;1;57;end start;-0,45008;0,23486;56,69;0,68494
S4;3;bbp;start;left;56;1;57;end start;-0,38740;0,27798;57,62;0,66538
S4;3;bbp;start;left;57;1;57;end start;-0,47525;0,22264;58,52;0,69789
S4;3;bbp;stop;left;1;1;58;begin stop;-0,38911;0,34407;0,70;0,73318
S4;3;bbp;stop;left;2;1;58;begin stop;-0,39171;0,32212;1,68;0,71383
S4;3;bbp;stop;left;3;1;58;begin stop;-0,41290;0,31049;2,63;0,72339
S4;3;bbp;stop;left;4;1;58;begin stop;-0,45860;0,25558;3,58;0,71418
S4;3;bbp;stop;left;5;1;58;begin stop;-0,43031;0,29521;4,54;0,72552
S4;3;bbp;stop;left;29;1;58;Late Adapt;-0,50378;0,23549;27,56;0,73927
S4;3;bbp;stop;left;30;1;58;Late Adapt;-0,47000;0,23178;28,50;0,70178
S4;3;bbp;stop;left;31;1;58;Late Adapt;-0,46154;0,28582;29,46;0,74736
