subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S2;1;bbp;start;left;1;1;59;begin start;-0,15855;0,40471;0,17;0,56326
S2;1;bbp;start;left;2;1;59;begin start;-0,17822;0,39070;1,39;0,56892
S2;1;bbp;start;left;3;1;59;begin start;-0,21448;0,34295;2,59;0,55743
S2;1;bbp;start;left;4;1;59;begin start;-0,21196;0,34731;3,80;0,55927
S2;1;bbp;start;left;5;1;59;begin start;-0,21510;0,35823;5,03;0,57333
S2;1;bbp;start;left;17;1;59;Late Baseline;-0,15775;0,38314;19,46;0,54089
S2;1;bbp;start;left;18;1;59;Late Baseline;-0,18960;0,38712;20,61;0,57672
S2;1;bbp;start;left;19;1;59;Late Baseline;-0,21520;0,34556;21,81;0,56076
S2;1;bbp;start;left;20;1;59;Late Baseline;-0,20299;0,35635;23,01;0,55934
S2;1;bbp;start;left;21;1;59;Late Baseline;-0,24009;0,32689;24,19;0,56698
S2;1;bbp;start;left;24;1;59;Early Adapt;-0,25010;0,38953;27,70;0,63963
S2;1;bbp;start;left;25;1;59;Early Adapt;-0,25931;0,24907;28,36;0,50838
S2;1;bbp;start;left;26;1;59;Early Adapt;-0,27713;0,30000;29,20;0,57713
S2;1;bbp;start;left;27;1;59;Early Adapt;-0,29006;0,29202;30,00;0,58208
S2;1;bbp;start;left;28;1;59;Early Adapt;-0,37366;0,29785;30,86;0,67151
S2;1;bbp;start;left;54;1;59;end start;-0,41246;0,28998;54,55;0,70244
S2;1;bbp;start;left;55;1;59;end start;-0,44006;0,26304;55,47;0,70310
S2;1;bbp;start;left;56;1;59;end start;-0,39021;0,30318;56,41;0,69339
S2;1;bbp;start;left;57;1;59;end start;-0,37497;0,33421;57,35;0,70918
S2;1;bbp;start;left;58;1;59;end start;-0,30329;0,42775;58,30;0,73104
S2;1;bbp;start;left;59;1;59;end start;-0,28398;0,41922;59,26;0,70320
S2;1;bbp;stop;left;1;1;53;begin stop;-0,15613;0,59704;0,57;0,75317
S2;1;bbp;stop;left;2;1;53;begin stop;-0,12425;0,58846;1,57;0,71271
S2;1;bbp;stop;left;3;1;53;begin stop;-0,07158;0,66648;2,58;0,73806
S2;1;bbp;stop;left;4;1;53;begin stop;-0,02885;0,70474;3,61;0,73359
S2;1;bbp;stop;left;5;1;53;begin stop;-0,03923;0,71840;4,64;0,75763
S2;1;bbp;stop;left;22;1;53;Late Adapt;-0,10094;0,64110;22,36;0,74204
S2;1;bbp;stop;left;23;1;53;Late Adapt;-0,07441;0,65327;23,38;0,72768
S2;1;bbp;stop;left;24;1;53;Late Adapt;-0,11002;0,64315;24,39;0,75317
S2;1;bbp;stop;left;25;1;53;Late Adapt;-0,10323;0,63088;25,41;0,73411
S2;1;bbp;stop;left;26;1;53;Late Adapt;-0,09180;0,65369;26,44;0,74549
S2;1;bbp;stop;left;29;1;53;Early Post Adapt;-0,04235;0,64598;29,81;0,68833
