subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S9;1;upp;start;left;1;1;52;begin start;-0,38213;0,22156;0,86;0,60369
S9;1;upp;start;left;2;1;52;begin start;-0,39130;0,23324;2,18;0,62454
S9;1;upp;start;left;3;1;52;begin start;-0,40174;0,23080;3,52;0,63254
S9;1;upp;start;left;4;1;52;begin start;-0,38236;0,18373;4,80;0,56609
S9;1;upp;start;left;5;1;52;begin start;-0,33396;0,27240;6,11;0,60636
S9;1;upp;start;left;18;1;52;Late Baseline;-0,29699;0,30189;22,83;0,59888
S9;1;upp;start;left;19;1;52;Late Baseline;-0,25549;0,32627;24,11;0,58176
S9;1;upp;start;left;20;1;52;Late Baseline;-0,24724;0,32628;25,38;0,57352
S9;1;upp;start;left;21;1;52;Late Baseline;-0,26806;0,31802;26,64;0,58608
S9;1;upp;start;left;22;1;52;Late Baseline;-0,29853;0,29328;27,91;0,59181
S9;1;upp;start;left;25;1;52;Early Adapt;-0,04285;0,08017;31,38;0,12302
S9;1;upp;start;left;26;1;52;Early Adapt;-0,25417;0,19527;32,16;0,44944
S9;1;upp;start;left;27;1;52;Early Adapt;-0,34865;0,09541;33,09;0,44406
S9;1;upp;start;left;28;1;52;Early Adapt;-0,28247;0,11549;34,03;0,39796
S9;1;upp;start;left;29;1;52;Early Adapt;-0,36354;0,16521;35,02;0,52875
S9;1;upp;start;left;47;1;52;end start;-0,33150;0,19094;54,17;0,52244
S9;1;upp;start;left;48;1;52;end start;-0,36895;0,24244;55,25;0,61139
S9;1;upp;start;left;49;1;52;end start;-0,31430;0,20824;56,32;0,52254
S9;1;upp;start;left;50;1;52;end start;-0,30704;0,33066;57,47;0,63770
S9;1;upp;start;left;51;1;52;end start;-0,35915;0,18145;58,57;0,54060
S9;1;upp;start;left;52;1;52;end start;-0,39654;0,22459;59,72;0,62113
S9;1;upp;stop;left;1;1;53;begin stop;-0,33050;0,30834;0,99;0,63884
S9;1;upp;stop;left;2;1;53;begin stop;-0,36099;0,27675;2,14;0,63774
S9;1;upp;stop;left;3;1;53;begin stop;-0,42672;0,26805;3,34;0,69477
S9;1;upp;stop;left;4;1;53;begin stop;-0,34127;0,27786;4,59;0,61913
S9;1;upp;stop;left;5;1;53;begin stop;-0,36313;0,33336;5,80;0,69649
S9;1;upp;stop;left;19;1;53;Late Adapt;-0,30429;0,34639;23,14;0,65068
S9;1;upp;stop;left;20;1;53;Late Adapt;-0,34589;0,34158;24,33;0,68747
S9;1;upp;stop;left;21;1;53;Late Adapt;-0,36971;0,33011;25,58;0,69982
S9;1;upp;stop;left;22;1;53;Late Adapt;-0,27787;0,25832;26,71;0,53619
S9;1;upp;stop;left;23;1;53;Late Adapt;-0,25581;0,31823;27,82;0,57404
S9;1;upp;stop;left;26;1;53;Early Post Adapt;-0,25317;0,28774;31,34;0,54091
S9;1;upp;stop;left;27;1;53;Early Post Adapt;-0,39454;0,15312;32,35;0,54766
S9;1;upp;stop;left;28;1;53;Early Post Adapt;-0,40435;0,05042;33,30;0,45477
S9;1;upp;stop;left;29;1;53;Early Post Adapt;-0,41416;0,01578;34,28;0,42994
S9;1;upp;stop;left;30;1;53;Early Post Adapt;-0,45647;0,06296;35,36;0,51943
S9;1;upp;stop;left;48;1;53;end stop;-0,34631;0,13862;54,94;0,48493
S9;1;upp;stop;left;49;1;53;end stop;-0,33508;0,13428;56,01;0,46936
S9;1;upp;stop;left;50;1;53;end stop;-0,30009;0,14050;57,10;0,44059
S9;1;upp;stop;left;51;1;53;end stop;-0,32889;0,10622;58,13;0,43511
S9;1;upp;stop;left;52;1;53;end stop;-0,36421;0,15441;59,21;0,51862
S9;1;upp;stop;left;53;1;53;end stop;-0,32269;0,18626;60,28;0,50895
S9;2;sbt;start;left;1;1;59;begin start;-0,32539;0,29418;0,96;0,61957
S9;2;sbt;start;left;2;1;59;begin start;-0,33682;0,23134;2,21;0,56816
S9;2;sbt;start;left;3;1;59;begin start;-0,29531;0,31143;3,56;0,60674
S9;2;sbt;start;left;4;1;59;begin start;-0,28568;0,24395;4,84;0,52963
S9;2;sbt;start;left;5;1;59;begin start;-0,33880;0,27830;6,16;0,61710
S9;2;sbt;start;left;18;1;59;Late Baseline;-0,36233;0,26211;22,91;0,62444
S9;2;sbt;start;left;19;1;59;Late Baseline;-0,35337;0,23887;24,17;0,59224
S9;2;sbt;start;left;20;1;59;Late Baseline;-0,39203;0,20166;25,43;0,59369
S9;2;sbt;start;left;21;1;59;Late Baseline;-0,33919;0,24420;26,74;0,58339
S9;2;sbt;start;left;22;1;59;Late Baseline;-0,28388;0,36271;28,07;0,64659
S9;2;sbt;start;left;25;1;59;Early Adapt;-0,12896;0,05029;31,40;0,17925
S9;2;sbt;start;left;26;1;59;Early Adapt;-0,29859;0,10652;32,06;0,40511
S9;2;sbt;start;left;27;1;59;Early Adapt;-0,25230;-0,02003;32,78;0,23227
S9;2;sbt;start;left;28;1;59;Early Adapt;-0,32850;0,01220;33,47;0,34070
S9;2;sbt;start;left;29;1;59;Early Adapt;-0,30433;0,03987;34,20;0,34420
S9;2;sbt;start;left;54;1;59;end start;-0,30262;0,30316;55,00;0,60578
S9;2;sbt;start;left;55;1;59;end start;-0,29129;0,21158;55,98;0,50287
S9;2;sbt;start;left;56;1;59;end start;-0,35602;0,24159;57,00;0,59761
S9;2;sbt;start;left;57;1;59;end start;-0,36672;0,27505;58,07;0,64177
S9;2;sbt;start;left;58;1;59;end start;-0,42562;0,20146;59,13;0,62708
S9;2;sbt;start;left;59;1;59;end start;-0,45102;0,22109;60,25;0,67211
S9;2;sbt;stop;left;1;1;57;begin stop;-0,31367;0,32661;0,65;0,64028
S9;2;sbt;stop;left;2;1;57;begin stop;-0,36105;0,34848;1,74;0,70953
S9;2;sbt;stop;left;3;1;57;begin stop;-0,37190;0,33489;2,86;0,70679
S9;2;sbt;stop;left;4;1;57;begin stop;-0,40029;0,38123;4,06;0,78152
S9;2;sbt;stop;left;5;1;57;begin stop;-0,42540;0,28341;5,19;0,70881
S9;2;sbt;stop;left;29;1;57;Late Adapt;-0,36048;0,29821;32,31;0,65869
S9;2;sbt;stop;left;30;1;57;Late Adapt;-0,38050;0,33075;33,44;0,71125
S9;2;sbt;stop;left;31;1;57;Late Adapt;-0,41925;0,27647;34,50;0,69572
S9;2;sbt;stop;left;32;1;57;Late Adapt;-0,37470;0,23738;35,54;0,61208
S9;2;sbt;stop;left;33;1;57;Late Adapt;-0,46939;0,27553;36,66;0,74492
S9;2;sbt;stop;left;36;1;57;Early Post Adapt;-0,34642;0,16028;41,08;0,50670
S9;2;sbt;stop;left;37;1;57;Early Post Adapt;-0,36084;0,11657;41,95;0,47741
S9;2;sbt;stop;left;38;1;57;Early Post Adapt;-0,37882;0,14535;42,90;0,52417
S9;2;sbt;stop;left;39;1;57;Early Post Adapt;-0,30197;0,13033;43,83;0,43230
S9;2;sbt;stop;left;40;1;57;Early Post Adapt;-0,34684;0,18222;44,84;0,52906
S9;2;sbt;stop;left;52;1;57;end stop;-0,27698;0,28364;58,40;0,56062
S9;2;sbt;stop;left;53;1;57;end stop;-0,29278;0,28905;59,53;0,58183
S9;2;sbt;stop;left;54;1;57;end stop;-0,25587;0,26782;60,69;0,52369
S9;2;sbt;stop;left;55;1;57;end stop;-0,32091;0,28469;61,84;0,60560
S9;2;sbt;stop;left;56;1;57;end stop;-0,32195;0,23662;63,00;0,55857
S9;2;sbt;stop;left;57;1;57;end stop;-0,34153;0,24077;64,22;0,58230
S9;3;bbp;start;left;1;1;59;begin start;-0,37208;0,22946;0,61;0,60154
S9;3;bbp;start;left;2;1;59;begin start;-0,43075;0,21505;1,93;0,64580
S9;3;bbp;start;left;3;1;59;begin start;-0,30607;0,26450;3,30;0,57057
S9;3;bbp;start;left;4;1;59;begin start;-0,28654;0,31080;4,61;0,59734
S9;3;bbp;start;left;5;1;59;begin start;-0,32729;0,28554;5,91;0,61283
S9;3;bbp;start;left;17;1;59;Late Baseline;-0,27957;0,33682;22,62;0,61639
S9;3;bbp;start;left;18;1;59;Late Baseline;-0,25860;0,37061;24,04;0,62921
S9;3;bbp;start;left;19;1;59;Late Baseline;-0,30309;0,31102;25,36;0,61411
S9;3;bbp;start;left;20;1;59;Late Baseline;-0,26701;0,31770;26,70;0,58471
S9;3;bbp;start;left;21;1;59;Late Baseline;-0,27819;0,31359;27,95;0,59178
S9;3;bbp;start;left;24;1;59;Early Adapt;-0,29620;0,24459;31,02;0,54079
S9;3;bbp;start;left;25;1;59;Early Adapt;-0,36865;0,16716;33,06;0,53581
S9;3;bbp;start;left;26;1;59;Early Adapt;-0,32199;0,20805;33,80;0,53004
S9;3;bbp;start;left;27;1;59;Early Adapt;-0,35054;0,20946;34,59;0,56000
S9;3;bbp;start;left;28;1;59;Early Adapt;-0,38338;0,20415;35,37;0,58753
S9;3;bbp;start;left;54;1;59;end start;-0,43581;0,19637;57,16;0,63218
S9;3;bbp;start;left;55;1;59;end start;-0,45456;0,21058;58,04;0,66514
S9;3;bbp;start;left;56;1;59;end start;-0,44359;0,19054;58,94;0,63413
S9;3;bbp;start;left;57;1;59;end start;-0,41074;0,17671;59,75;0,58745
S9;3;bbp;start;left;58;1;59;end start;-0,38217;0,22781;60,62;0,60998
S9;3;bbp;start;left;59;1;59;end start;-0,38804;0,23724;61,45;0,62528
S9;3;bbp;stop;left;1;1;60;begin stop;-0,35905;0,40857;0,24;0,76762
S9;3;bbp;stop;left;2;1;60;begin stop;-0,38077;0,37430;1,27;0,75507
S9;3;bbp;stop;left;3;1;60;begin stop;-0,33954;0,43437;2,34;0,77391
S9;3;bbp;stop;left;4;1;60;begin stop;-0,38989;0,41021;3,38;0,80010
S9;3;bbp;stop;left;5;1;60;begin stop;-0,35822;0,42615;4,46;0,78437
S9;3;bbp;stop;left;24;1;60;Late Adapt;-0,38435;0,41928;25,25;0,80363
S9;3;bbp;stop;left;25;1;60;Late Adapt;-0,37201;0,37823;26,35;0,75024
S9;3;bbp;stop;left;26;1;60;Late Adapt;-0,31792;0,40386;27,38;0,72178
S9;3;bbp;stop;left;27;1;60;Late Adapt;-0,38705;0,40242;28,36;0,78947
S9;3;bbp;stop;left;28;1;60;Late Adapt;-0,36835;0,37998;29,30;0,74833
S9;3;bbp;stop;left;31;1;60;Early Post Adapt;-0,16330;0,36164;31,42;0,52494
S9;3;bbp;stop;left;32;1;60;Early Post Adapt;-0,32934;0,21737;32,28;0,54671
S9;3;bbp;stop;left;33;1;60;Early Post Adapt;-0,27950;0,17575;33,23;0,45525
S9;3;bbp;stop;left;34;1;60;Early Post Adapt;-0,32848;0,16855;34,21;0,49703
S9;3;bbp;stop;left;35;1;60;Early Post Adapt;-0,31120;0,21469;35,22;0,52589
S9;3;bbp;stop;left;55;1;60;end stop;-0,24944;0,41332;59,55;0,66276
S9;3;bbp;stop;left;56;1;60;end stop;-0,29705;0,38919;60,94;0,68624
S9;3;bbp;stop;left;57;1;60;end stop;-0,31049;0,39898;62,43;0,70947
S9;3;bbp;stop;left;58;1;60;end stop;-0,29171;0,33084;63,76;0,62255
S9;3;bbp;stop;left;59;1;60;end stop;-0,31398;0,31521;65,07;0,62919
S9;3;bbp;stop;left;60;1;60;end stop;-0,29153;0,32974;66,39;0,62127
S9;4;bpp;start;left;1;1;63;begin start;-0,23749;0,35972;1,26;0,59721
S9;4;bpp;start;left;2;1;63;begin start;-0,29711;0,34864;2,64;0,64575
S9;4;bpp;start;left;3;1;63;begin start;-0,31891;0,29641;4,01;0,61532
S9;4;bpp;start;left;4;1;63;begin start;-0,33629;0,29687;5,41;0,63316
S9;4;bpp;start;left;5;1;63;begin start;-0,28426;0,35872;6,84;0,64298
S9;4;bpp;start;left;19;1;63;Late Baseline;-0,30364;0,26961;25,53;0,57325
S9;4;bpp;start;left;20;1;63;Late Baseline;-0,28096;0,27650;26,82;0,55746
S9;4;bpp;start;left;21;1;63;Late Baseline;-0,20853;0,30315;28,01;0,51168
S9;4;bpp;start;left;22;1;63;Late Baseline;-0,24512;0,27775;29,05;0,52287
S9;4;bpp;start;left;23;1;63;Late Baseline;-0,22672;0,26324;30,13;0,48996
S9;4;bpp;start;left;26;1;63;Early Adapt;-0,26694;0,16296;32,72;0,42990
S9;4;bpp;start;left;27;1;63;Early Adapt;-0,27501;0,21031;33,46;0,48532
S9;4;bpp;start;left;28;1;63;Early Adapt;-0,30933;0,24942;34,22;0,55875
S9;4;bpp;start;left;29;1;63;Early Adapt;-0,29537;0,21433;35,00;0,50970
S9;4;bpp;start;left;30;1;63;Early Adapt;-0,30047;0,24921;35,81;0,54968
S9;4;bpp;start;left;58;1;63;end start;-0,40512;0,22873;59,70;0,63385
S9;4;bpp;start;left;59;1;63;end start;-0,37725;0,25122;60,59;0,62847
S9;4;bpp;start;left;60;1;63;end start;-0,35980;0,30149;61,45;0,66129
S9;4;bpp;start;left;61;1;63;end start;-0,37311;0,29147;62,31;0,66458
S9;4;bpp;start;left;62;1;63;end start;-0,37978;0,24604;63,19;0,62582
S9;4;bpp;start;left;63;1;63;end start;-0,31989;0,28847;64,06;0,60836
S9;4;bpp;stop;left;1;1;54;begin stop;-0,34841;0,42062;0,18;0,76903
S9;4;bpp;stop;left;2;1;54;begin stop;-0,36801;0,42572;1,35;0,79373
S9;4;bpp;stop;left;3;1;54;begin stop;-0,40573;0,35966;2,49;0,76539
S9;4;bpp;stop;left;4;1;54;begin stop;-0,43026;0,35112;3,67;0,78138
S9;4;bpp;stop;left;5;1;54;begin stop;-0,37035;0,41472;4,86;0,78507
S9;4;bpp;stop;left;23;1;54;Late Adapt;-0,31627;0,43123;25,22;0,74750
S9;4;bpp;stop;left;24;1;54;Late Adapt;-0,29432;0,42173;26,30;0,71605
S9;4;bpp;stop;left;25;1;54;Late Adapt;-0,22483;0,45881;27,41;0,68364
S9;4;bpp;stop;left;26;1;54;Late Adapt;-0,27181;0,42709;28,44;0,69890
S9;4;bpp;stop;left;27;1;54;Late Adapt;-0,30320;0,37913;29,48;0,68233
S9;4;bpp;stop;left;30;1;54;Early Post Adapt;-0,27334;0,06568;32,17;0,33902
S9;4;bpp;stop;left;31;1;54;Early Post Adapt;-0,29988;0,01632;32,91;0,31620
S9;4;bpp;stop;left;32;1;54;Early Post Adapt;-0,32889;-0,00814;33,69;0,32075
S9;4;bpp;stop;left;33;1;54;Early Post Adapt;-0,29440;0,01460;34,50;0,30900
S9;4;bpp;stop;left;34;1;54;Early Post Adapt;-0,31957;0,04816;35,34;0,36773
S9;4;bpp;stop;left;49;1;54;end stop;-0,30860;0,24215;52,68;0,55075
S9;4;bpp;stop;left;50;1;54;end stop;-0,32981;0,23835;53,88;0,56816
S9;4;bpp;stop;left;51;1;54;end stop;-0,30823;0,23795;55,12;0,54618
S9;4;bpp;stop;left;52;1;54;end stop;-0,31252;0,25795;56,34;0,57047
S9;4;bpp;stop;left;53;1;54;end stop;-0,34280;0,23571;57,57;0,57851
S9;4;bpp;stop;left;54;1;54;end stop;-0,31948;0,23438;58,82;0,55386
S9;5;ubp;start;left;1;1;49;begin start;-0,39742;0,41522;1,57;0,81264
S9;5;ubp;start;left;2;1;49;begin start;-0,41690;0,26270;3,06;0,67960
S9;5;ubp;start;left;3;1;49;begin start;-0,38759;0,29672;4,60;0,68431
S9;5;ubp;start;left;4;1;49;begin start;-0,42375;0,29348;6,03;0,71723
S9;5;ubp;start;left;5;1;49;begin start;-0,38370;0,22204;7,43;0,60574
S9;5;ubp;start;left;17;1;49;Late Baseline;-0,31543;0,32947;23,46;0,64490
S9;5;ubp;start;left;18;1;49;Late Baseline;-0,30255;0,28127;24,79;0,58382
S9;5;ubp;start;left;19;1;49;Late Baseline;-0,27647;0,34288;26,05;0,61935
S9;5;ubp;start;left;20;1;49;Late Baseline;-0,26550;0,34923;27,40;0,61473
S9;5;ubp;start;left;21;1;49;Late Baseline;-0,27171;0,34865;28,69;0,62036
S9;5;ubp;start;left;24;1;49;Early Adapt;-0,27893;0,10081;31,78;0,37974
S9;5;ubp;start;left;25;1;49;Early Adapt;-0,28189;0,01175;32,54;0,29364
S9;5;ubp;start;left;26;1;49;Early Adapt;-0,33000;0,06898;33,32;0,39898
S9;5;ubp;start;left;27;1;49;Early Adapt;-0,31426;0,08216;34,23;0,39642
S9;5;ubp;start;left;28;1;49;Early Adapt;-0,30797;0,07766;35,14;0,38563
S9;5;ubp;start;left;44;1;49;end start;-0,43263;0,31084;52,66;0,74347
S9;5;ubp;start;left;45;1;49;end start;-0,49514;0,21499;53,87;0,71013
S9;5;ubp;start;left;46;1;49;end start;-0,43939;0,28928;55,15;0,72867
S9;5;ubp;start;left;47;1;49;end start;-0,44037;0,26889;56,43;0,70926
S9;5;ubp;start;left;48;1;49;end start;-0,45127;0,31478;57,76;0,76605
S9;5;ubp;start;left;49;1;49;end start;-0,47252;0,28222;59,04;0,75474
S9;5;ubp;stop;left;1;1;54;begin stop;-0,34808;0,32223;1,21;0,67031
S9;5;ubp;stop;left;2;1;54;begin stop;-0,34847;0,33167;2,46;0,68014
S9;5;ubp;stop;left;3;1;54;begin stop;-0,33545;0,34639;3,74;0,68184
S9;5;ubp;stop;left;4;1;54;begin stop;-0,38415;0,29085;5,00;0,67500
S9;5;ubp;stop;left;5;1;54;begin stop;-0,34199;0,32394;6,28;0,66593
S9;5;ubp;stop;left;19;1;54;Late Adapt;-0,41898;0,24961;25,13;0,66859
S9;5;ubp;stop;left;20;1;54;Late Adapt;-0,29422;0,39060;26,49;0,68482
S9;5;ubp;stop;left;21;1;54;Late Adapt;-0,33315;0,34288;27,71;0,67603
S9;5;ubp;stop;left;22;1;54;Late Adapt;-0,36617;0,29113;28,89;0,65730
S9;5;ubp;stop;left;23;1;54;Late Adapt;-0,34913;0,28658;30,09;0,63571
S9;5;ubp;stop;left;26;1;54;Early Post Adapt;-0,13042;0,33636;32,90;0,46678
S9;5;ubp;stop;left;27;1;54;Early Post Adapt;-0,30511;0,21373;33,73;0,51884
S9;5;ubp;stop;left;28;1;54;Early Post Adapt;-0,37371;0,19160;34,77;0,56531
S9;5;ubp;stop;left;29;1;54;Early Post Adapt;-0,28385;0,27981;36,03;0,56366
S9;5;ubp;stop;left;30;1;54;Early Post Adapt;-0,33129;0,31668;37,31;0,64797
S9;5;ubp;stop;left;49;1;54;end stop;-0,24640;0,38159;62,50;0,62799
S9;5;ubp;stop;left;50;1;54;end stop;-0,26625;0,36193;63,86;0,62818
S9;5;ubp;stop;left;51;1;54;end stop;-0,20090;0,43501;65,28;0,63591
S9;5;ubp;stop;left;52;1;54;end stop;-0,17030;0,54751;66,82;0,71781
S9;5;ubp;stop;left;53;1;54;end stop;-0,13158;0,55201;68,35;0,68359
S9;5;ubp;stop;left;54;1;54;end stop;-0,24871;0,43344;69,77;0,68215
S9;1;upp;start;right;1;1;53;begin start;-0,37422;0,22073;0,20;0,59495
S9;1;upp;start;right;2;1;53;begin start;-0,40183;0,21826;1,50;0,62009
S9;1;upp;start;right;3;1;53;begin start;-0,40097;0,21813;2,83;0,61910
S9;1;upp;start;right;4;1;53;begin start;-0,39960;0,20651;4,17;0,60611
S9;1;upp;start;right;5;1;53;begin start;-0,33238;0,22077;5,45;0,55315
S9;1;upp;start;right;19;1;53;Late Baseline;-0,24097;0,33562;23,50;0,57659
S9;1;upp;start;right;20;1;53;Late Baseline;-0,25378;0,34841;24,75;0,60219
S9;1;upp;start;right;21;1;53;Late Baseline;-0,26386;0,34778;26,01;0,61164
S9;1;upp;start;right;22;1;53;Late Baseline;-0,29085;0,33324;27,28;0,62409
