subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S20;1;ubp;start;left;1;1;64;begin start;-0,30219;0,20558;0,03;0,50777
S20;1;ubp;start;left;2;1;64;begin start;-0,26897;0,22176;1,15;0,49073
S20;1;ubp;start;left;3;1;64;begin start;-0,30005;0,19262;3,27;0,49267
S20;1;ubp;start;left;4;1;64;begin start;-0,36607;0,16325;4,36;0,52932
S20;1;ubp;start;left;5;1;64;begin start;-0,41497;0,11555;5,44;0,53052
S20;1;ubp;start;left;23;1;64;Late Baseline;-0,35222;0,16856;24,98;0,52078
S20;1;ubp;start;left;24;1;64;Late Baseline;-0,30867;0,19794;26,09;0,50661
S20;1;ubp;start;left;25;1;64;Late Baseline;-0,33120;0,16950;27,15;0,50070
S20;1;ubp;start;left;26;1;64;Late Baseline;-0,31347;0,18217;28,23;0,49564
S20;1;ubp;start;left;27;1;64;Late Baseline;-0,27333;0,19249;29,30;0,46582
S20;1;ubp;start;left;30;1;64;Early Adapt;-0,10502;0,15353;33,59;0,25855
S20;1;ubp;start;left;31;1;64;Early Adapt;-0,19544;0,24772;34,37;0,44316
S20;1;ubp;start;left;32;1;64;Early Adapt;-0,19176;0,19186;35,16;0,38362
S20;1;ubp;start;left;33;1;64;Early Adapt;-0,27952;0,12667;36,73;0,40619
S20;1;ubp;start;left;34;1;64;Early Adapt;-0,25337;0,12588;37,52;0,37925
S20;1;ubp;start;left;59;1;64;end start;-0,41083;-0,02801;56,28;0,38282
S20;1;ubp;start;left;60;1;64;end start;-0,41109;-0,04486;57,01;0,36623
S20;1;ubp;start;left;61;1;64;end start;-0,46652;-0,07153;57,74;0,39499
S20;1;ubp;start;left;62;1;64;end start;-0,40411;-0,10983;58,45;0,29428
S20;1;ubp;start;left;63;1;64;end start;-0,36100;0,00577;59,21;0,36677
S20;1;ubp;start;left;64;1;64;end start;-0,36778;0,00152;59,92;0,36930
S20;1;ubp;stop;left;1;1;60;begin stop;-0,43340;0,11241;0,38;0,54581
S20;1;ubp;stop;left;2;1;60;begin stop;-0,44701;0,12226;1,34;0,56927
S20;1;ubp;stop;left;3;1;60;begin stop;-0,47241;0,07804;2,28;0,55045
S20;1;ubp;stop;left;4;1;60;begin stop;-0,43783;0,10343;3,24;0,54126
S20;1;ubp;stop;left;5;1;60;begin stop;-0,42640;0,12364;4,14;0,55004
S20;1;ubp;stop;left;27;1;60;Late Adapt;-0,40515;0,17122;25,32;0,57637
S20;1;ubp;stop;left;28;1;60;Late Adapt;-0,43908;0,12494;26,26;0,56402
S20;1;ubp;stop;left;29;1;60;Late Adapt;-0,41917;0,13213;27,21;0,55130
S20;1;ubp;stop;left;30;1;60;Late Adapt;-0,37042;0,20069;28,20;0,57111
S20;1;ubp;stop;left;31;1;60;Late Adapt;-0,37737;0,14348;29,09;0,52085
S20;1;ubp;stop;left;34;1;60;Early Post Adapt;-0,36524;0,15040;32,98;0,51564
S20;1;ubp;stop;left;35;1;60;Early Post Adapt;-0,31185;0,15796;33,91;0,46981
S20;1;ubp;stop;left;36;1;60;Early Post Adapt;-0,28600;0,20438;34,84;0,49038
S20;1;ubp;stop;left;37;1;60;Early Post Adapt;-0,36067;0,14277;35,77;0,50344
S20;1;ubp;stop;left;38;1;60;Early Post Adapt;-0,40007;0,10850;36,78;0,50857
S20;1;ubp;stop;left;55;1;60;end stop;-0,25864;0,17161;54,80;0,43025
S20;1;ubp;stop;left;56;1;60;end stop;-0,23564;0,24898;55,84;0,48462
S20;1;ubp;stop;left;57;1;60;end stop;-0,27984;0,21007;56,89;0,48991
S20;1;ubp;stop;left;58;1;60;end stop;-0,30858;0,18934;57,92;0,49792
S20;1;ubp;stop;left;59;1;60;end stop;-0,29997;0,20002;58,97;0,49999
S20;1;ubp;stop;left;60;1;60;end stop;-0,29433;0,19571;60,05;0,49004
S20;2;sbt;start;left;1;1;70;begin start;-0,43151;0,08132;0,58;0,51283
S20;2;sbt;start;left;2;1;70;begin start;-0,43522;0,08373;1,68;0,51895
S20;2;sbt;start;left;3;1;70;begin start;-0,44671;0,09636;2,79;0,54307
S20;2;sbt;start;left;4;1;70;begin start;-0,44387;0,07223;3,88;0,51610
S20;2;sbt;start;left;5;1;70;begin start;-0,43110;0,10535;4,98;0,53645
S20;2;sbt;start;left;23;1;70;Late Baseline;-0,44311;0,07683;24,52;0,51994
S20;2;sbt;start;left;24;1;70;Late Baseline;-0,33123;0,14710;25,59;0,47833
S20;2;sbt;start;left;25;1;70;Late Baseline;-0,35185;0,17358;26,64;0,52543
S20;2;sbt;start;left;26;1;70;Late Baseline;-0,40840;0,10972;27,69;0,51812
S20;2;sbt;start;left;27;1;70;Late Baseline;-0,37553;0,11386;28,73;0,48939
S20;2;sbt;start;left;30;1;70;Early Adapt;-0,19290;0,24327;32,78;0,43617
S20;2;sbt;start;left;31;1;70;Early Adapt;-0,24799;0,14839;33,51;0,39638
S20;2;sbt;start;left;32;1;70;Early Adapt;-0,24435;0,10091;34,19;0,34526
S20;2;sbt;start;left;33;1;70;Early Adapt;-0,23563;0,13412;34,90;0,36975
S20;2;sbt;start;left;34;1;70;Early Adapt;-0,24555;0,11936;35,61;0,36491
S20;2;sbt;start;left;65;1;70;end start;-0,25088;0,18249;56,79;0,43337
S20;2;sbt;start;left;66;1;70;end start;-0,24581;0,15319;57,47;0,39900
S20;2;sbt;start;left;67;1;70;end start;-0,21189;0,14212;58,12;0,35401
S20;2;sbt;start;left;68;1;70;end start;-0,22615;0,17140;58,79;0,39755
S20;2;sbt;start;left;69;1;70;end start;-0,25390;0,14104;59,44;0,39494
S20;2;sbt;start;left;70;1;70;end start;-0,28418;0,10649;60,11;0,39067
S20;2;sbt;stop;left;1;1;63;begin stop;-0,30686;0,36781;0,17;0,67467
S20;2;sbt;stop;left;2;1;63;begin stop;-0,27344;0,37305;1,16;0,64649
S20;2;sbt;stop;left;3;1;63;begin stop;-0,27850;0,37781;2,09;0,65631
S20;2;sbt;stop;left;4;1;63;begin stop;-0,23030;0,40950;3,06;0,63980
S20;2;sbt;stop;left;5;1;63;begin stop;-0,21874;0,41630;4,03;0,63504
S20;2;sbt;stop;left;28;1;63;Late Adapt;-0,31110;0,28687;25,37;0,59797
S20;2;sbt;stop;left;29;1;63;Late Adapt;-0,31718;0,30782;26,29;0,62500
S20;2;sbt;stop;left;30;1;63;Late Adapt;-0,35734;0,27494;27,21;0,63228
S20;2;sbt;stop;left;31;1;63;Late Adapt;-0,34175;0,26007;28,14;0,60182
S20;2;sbt;stop;left;32;1;63;Late Adapt;-0,26181;0,32294;29,09;0,58475
S20;2;sbt;stop;left;35;1;63;Early Post Adapt;-0,09539;0,39735;31,92;0,49274
S20;2;sbt;stop;left;36;1;63;Early Post Adapt;-0,10932;0,40639;32,88;0,51571
S20;2;sbt;stop;left;37;1;63;Early Post Adapt;-0,14596;0,37882;33,83;0,52478
S20;2;sbt;stop;left;38;1;63;Early Post Adapt;-0,12722;0,38649;34,71;0,51371
S20;2;sbt;stop;left;39;1;63;Early Post Adapt;-0,12276;0,37713;35,60;0,49989
S20;2;sbt;stop;left;58;1;63;end stop;-0,14137;0,40033;53,84;0,54170
S20;2;sbt;stop;left;59;1;63;end stop;-0,14148;0,39136;54,95;0,53284
S20;2;sbt;stop;left;60;1;63;end stop;-0,12848;0,39603;56,00;0,52451
S20;2;sbt;stop;left;61;1;63;end stop;-0,14170;0,32180;57,01;0,46350
S20;2;sbt;stop;left;62;1;63;end stop;-0,14493;0,31497;58,08;0,45990
S20;2;sbt;stop;left;63;1;63;end stop;-0,12441;0,30591;59,12;0,43032
S20;3;bbp;start;left;1;1;79;begin start;-0,38879;0,09562;0,13;0,48441
S20;3;bbp;start;left;2;1;79;begin start;-0,33179;0,18066;1,25;0,51245
S20;3;bbp;start;left;3;1;79;begin start;-0,40580;0,12010;2,32;0,52590
S20;3;bbp;start;left;4;1;79;begin start;-0,39642;0,10819;3,42;0,50461
S20;3;bbp;start;left;5;1;79;begin start;-0,33470;0,19645;4,60;0,53115
