subject;order;condition;start_stop;stance_side;step;normalized_time;last_step;period;IPSI_HEEL;CONTRA_HEEL;TIME;step_length
S12;1;upp;start;left;1;1;55;begin start;-0,35351;0,16849;0,68;0,52200
S12;1;upp;start;left;2;1;55;begin start;-0,33323;0,19044;1,74;0,52367
S12;1;upp;start;left;3;1;55;begin start;-0,36058;0,16410;2,85;0,52468
S12;1;upp;start;left;4;1;55;begin start;-0,35997;0,16886;5,05;0,52883
S12;1;upp;start;left;5;1;55;begin start;-0,30667;0,17851;6,16;0,48518
S12;1;upp;start;left;22;1;55;Late Baseline;-0,33846;0,18138;24,69;0,51984
S12;1;upp;start;left;23;1;55;Late Baseline;-0,37351;0,17376;25,79;0,54727
S12;1;upp;start;left;24;1;55;Late Baseline;-0,30994;0,18308;26,87;0,49302
S12;1;upp;start;left;25;1;55;Late Baseline;-0,33781;0,19569;27,92;0,53350
S12;1;upp;start;left;26;1;55;Late Baseline;-0,37266;0,15783;29,01;0,53049
S12;1;upp;start;left;29;1;55;Early Adapt;-0,08850;0,18779;32,53;0,27629
S12;1;upp;start;left;30;1;55;Early Adapt;-0,28444;0,14821;33,29;0,43265
S12;1;upp;start;left;31;1;55;Early Adapt;-0,27789;0,13321;34,11;0,41110
S12;1;upp;start;left;32;1;55;Early Adapt;-0,27436;0,12427;35,02;0,39863
S12;1;upp;start;left;33;1;55;Early Adapt;-0,25352;0,12642;35,95;0,37994
S12;1;upp;start;left;50;1;55;end start;-0,28198;0,20862;53,11;0,49060
S12;1;upp;start;left;51;1;55;end start;-0,26718;0,14794;54,08;0,41512
S12;1;upp;start;left;52;1;55;end start;-0,26142;0,15540;56,02;0,41682
S12;1;upp;start;left;53;1;55;end start;-0,26730;0,19200;57,01;0,45930
S12;1;upp;start;left;54;1;55;end start;-0,27350;0,16538;57,99;0,43888
S12;1;upp;start;left;55;1;55;end start;-0,28520;0,21045;59,94;0,49565
S12;1;upp;stop;left;1;1;57;begin stop;-0,35090;0,17549;0,15;0,52639
S12;1;upp;stop;left;2;1;57;begin stop;-0,36635;0,15899;1,16;0,52534
S12;1;upp;stop;left;3;1;57;begin stop;-0,38731;0,15031;2,16;0,53762
S12;1;upp;stop;left;4;1;57;begin stop;-0,40514;0,14155;3,15;0,54669
S12;1;upp;stop;left;5;1;57;begin stop;-0,41184;0,11011;4,15;0,52195
S12;1;upp;stop;left;23;1;57;Late Adapt;-0,40637;0,15210;25,26;0,55847
S12;1;upp;stop;left;24;1;57;Late Adapt;-0,40466;0,10166;26,26;0,50632
S12;1;upp;stop;left;25;1;57;Late Adapt;-0,38612;0,17363;27,27;0,55975
S12;1;upp;stop;left;26;1;57;Late Adapt;-0,38914;0,10231;28,27;0,49145
S12;1;upp;stop;left;27;1;57;Late Adapt;-0,33970;0,19591;29,29;0,53561
S12;1;upp;stop;left;30;1;57;Early Post Adapt;-0,33132;0,17638;32,31;0,50770
S12;1;upp;stop;left;31;1;57;Early Post Adapt;-0,44376;0,03022;33,06;0,47398
S12;1;upp;stop;left;32;1;57;Early Post Adapt;-0,32917;0,04064;33,76;0,36981
S12;1;upp;stop;left;33;1;57;Early Post Adapt;-0,32610;0,19376;34,70;0,51986
S12;1;upp;stop;left;34;1;57;Early Post Adapt;-0,37825;0,19684;35,67;0,57509
S12;1;upp;stop;left;52;1;57;end stop;-0,35308;0,22110;54,28;0,57418
S12;1;upp;stop;left;53;1;57;end stop;-0,34840;0,18455;55,33;0,53295
S12;1;upp;stop;left;54;1;57;end stop;-0,31175;0,22122;56,40;0,53297
S12;1;upp;stop;left;55;1;57;end stop;-0,32280;0,22398;57,45;0,54678
S12;1;upp;stop;left;56;1;57;end stop;-0,36629;0,21376;58,52;0,58005
S12;1;upp;stop;left;57;1;57;end stop;-0,33786;0,19620;59,56;0,53406
S12;2;ubp;start;left;1;1;74;begin start;-0,40661;0,12383;0,82;0,53044
